borough,number_of_crime,2008,2009,2010,2011,2012,2013,2014,2015,2016,Avg,Rank,Rating
Barking and Dagenham,149447,17656,17713,17130,16686,15990,15759,15426,16346,16741,16605.0,9,4
Barnet,212191,23944,23449,23416,24007,23573,22510,22572,24036,24684,23577.0,20,1
Bexley,114136,15305,14445,13166,11325,11669,11552,11844,11990,12840,12682.0,5,4
Brent,227551,23504,24748,25512,27669,26357,23759,24426,24883,26693,25283.0,24,1
Bromley,184349,24015,21858,19572,19868,19622,18945,19668,20637,20164,20483.0,13,3
Camden,275147,32010,31612,31804,33956,31472,28435,27198,29477,29183,30572.0,30,1
City of London,780,0,0,0,69,157,110,115,151,178,87.0,1,5
Croydon,260294,29516,29784,29373,29830,30189,27444,27357,28089,28712,28922.0,28,1
Ealing,251562,28947,28617,31360,29537,28832,25917,24978,26247,27127,27951.0,27,1
Enfield,193880,21980,21147,20808,21041,21069,21574,21700,22076,22485,21542.0,16,2
Greenwich,181568,22010,19851,18626,18552,20028,18948,19894,20929,22730,20174.0,11,3
Hackney,217119,22004,20718,20175,21395,27095,25633,24893,26941,28265,24124.0,23,1
Hammersmith and Fulham,185259,21114,21211,21941,22151,21030,18605,19185,19848,20174,20584.0,14,3
Haringey,213272,25724,23704,22156,23179,23231,20705,22773,24626,27174,23697.0,21,1
Harrow,116848,13774,13948,13945,12801,12803,11914,11909,12601,13153,12983.0,7,4
Havering,138947,15395,14538,14957,15496,15965,15089,14734,15870,16903,15439.0,8,4
Hillingdon,209680,24318,24605,23421,24282,22103,20248,23128,23234,24341,23298.0,19,2
Hounslow,186772,20204,19783,19665,21105,22724,19749,20005,21286,22251,20752.0,15,2
Islington,230286,26273,25485,24693,24980,26268,23784,24679,27032,27092,25587.0,26,1
Kensington and Chelsea,171981,20663,18742,19481,19146,19757,17702,17840,19070,19580,19109.0,10,3
Kingston upon Thames,89306,10661,10163,10171,10155,9956,9191,9288,9738,9983,9923.0,2,5
Lambeth,292178,31717,31225,31671,33224,33473,31868,31765,33164,34071,32464.0,32,1
Lewisham,215137,27054,25182,24532,24201,23652,22074,21101,23437,23904,23904.0,22,1
Merton,115654,13875,13561,13595,13548,12856,11595,11596,12273,12755,12850.0,6,4
Newham,262024,29752,28610,30728,27978,30067,27577,28005,29217,30090,29114.0,29,1
Redbridge,183562,20873,20837,20652,21994,21424,19793,19590,18897,19502,20396.0,12,3
Richmond upon Thames,96771,11106,10618,10601,10896,11168,10439,10456,10413,11074,10752.0,3,5
Southwark,278809,33470,30623,31320,30723,30737,31128,28912,30260,31636,30979.0,31,1
Sutton,100987,12943,12240,12032,11068,10948,10057,10443,10598,10658,11221.0,4,5
Tower Hamlets,228613,23578,21959,23072,24712,26784,26258,25504,27493,29253,25401.0,25,1
Waltham Forest,203879,24080,24761,24818,23714,22647,21903,20271,20969,20716,22653.0,17,2
Wandsworth,204741,23330,23021,22815,21384,24457,22290,21364,22401,23679,22749.0,18,2
Westminster,455028,47846,48456,48116,54243,59226,53852,47564,47395,48330,50559.0,33,1
